
Time stamp: 1700334688.844312 Date time: 2023-11-18 16:11:28.844312
 
Time stamp: 1700334705.011302 Date time: 2023-11-18 16:11:45.011302
 
Motor 1 | Velocidade: 1.9999757636110957
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999757636110957
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999757636110957
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999757636110957
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999757636110957
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999757636110957
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999757636110957
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999757636110957
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999757636110957
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999757636110957
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999757636110957
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999757636110957
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334706.024439 Date time: 2023-11-18 16:11:46.024439
 
Motor 1 | Velocidade: 1.9999883609734603
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999883609734603
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999883609734603
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999883609734603
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999883609734603
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999883609734603
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999883609734603
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999883609734603
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999883609734603
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999883609734603
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999883609734603
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999883609734603
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334707.03641 Date time: 2023-11-18 16:11:47.036410
 
Motor 1 | Velocidade: 1.9999944105972502
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999944105972502
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999944105972502
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999944105972502
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999944105972502
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999944105972502
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999944105972502
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999944105972502
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999944105972502
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999944105972502
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999944105972502
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999944105972502
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334708.049364 Date time: 2023-11-18 16:11:48.049364
 
Motor 1 | Velocidade: 1.9999973158044626
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999973158044626
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999973158044626
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999973158044626
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999973158044626
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999973158044626
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999973158044626
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999973158044626
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999973158044626
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999973158044626
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999973158044626
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999973158044626
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334709.056683 Date time: 2023-11-18 16:11:49.056683
 
Motor 1 | Velocidade: 1.9999989905631737
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999989905631737
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999989905631737
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999989905631737
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999989905631737
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999989905631737
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999989905631737
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999989905631737
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999989905631737
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999989905631737
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999989905631737
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999989905631737
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334710.061224 Date time: 2023-11-18 16:11:50.061224
 
Motor 1 | Velocidade: 1.9999995152387575
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999995152387575
